question,answer
COMPETENCY COMPEL LABILITY AND PRIVILEGE OF WITNESSES,
"how is witness will be examined, [EXAMINATION OF WITNESSES]",
"COMPETENCY, COMPELLABILITY AND PRIVILEGE OF WITNESSES","127.-(I) All persons shall be competent to testify unless the court
considers that they are prevented from understanding the questions put
to them, or from giving rational answers to those questions, by reason
of tender years, extreme old age, disease (whether of body or mind)
or any other similar cause.
Who may
testify
(2) Where in any criminal cause or matter any child of tender years
called as a witness does not, in the opinion of the court, understand the
nature of an oath, his evidence may be received, though not
given upon oath or affirmation, if in the opinion of the court, to be
recorded in the proceedings, he is possessed of sufficient intelligence to
justify the reception of his evidence, and understands the duty of
speaking the truth:
Provided that where evidence received by virtue of this subsection
is given on behalf of the prosecution, the accused shall not be liable
to be convicted unless such evidence is corroborated by some other
material evidence in support thereof implicating the accused.
(3) A person of unsound mind is not incompetent to testify, unless
he is prevented by his condition from understanding the questions put
to him and giving rational answers to them.
128.-(I) A witness who is unable to speak may give his evidence
in any other manner in which he can make it intelligible, as by
writing or by signs; but such writing must be written, and the signs
made, in open court.
Dumb
witnesses
(2) Evidence so given shall be deemed to be oral evidence.
Privilege of 129. No judge or magistrate shall, except upon the special order of
some court to which he is subordinate, be compelled to answer any
questions as to his own conduct in court as such judge or magistrate,
or as to anything which came to his knowledge in court as such judge
or magistrate, but he may be examined as to other matters which
occurred in his presence whilst he was so acting.
court
130.-(I) Where a person charged with an offence is the husband
or the wife of another person, such last named person shall be a
competent but not a compellable witness on behalf of the prosecution:
Provided that the wife or husband shall be a competent and compellable
witness for the prosecution in the following cases only:.
(a) in any case where the person charged is charged with an offence
under Chapter XV of the Penal Code or against section 164 of
the Penal Code; (b) in any case where the person charged is charged m respect of an
act or omission affecting the person or property of the wife or
husband of such person or the children or either of them.
(2) Where a person whom the court has reason to believe is the
husband or wife of a person charged with an offence is called as a
witness for the prosecution, the court shall, except in the cases specified
in the proviso to subsection (1), ensure that such person is before
giving evidence made aware of the provisions of subsection (1) and
the evidence of such person shall not be admissible unless the court has
recorded in the proceedings that this subsection has been complied with.
(3) Every person charged with an offence and the wife or husband,
as the case may be, of the person so charged, shall be a competent
witness for the defence at every stage of the proceedings where the
person so charged is charged solely or jointly with any other person:
Provided that the wife or husband of the person so charged shall
not be called as a witness except upon the application of the person so
charged.
(4) Nothing under this section shall make a husband compellable
to disclose a communication made to him by his wife during the
marriage or a wife compellable to disclose any communication made to
her by her husband during the marriage.
(5) The failure of any person charged with an offence, or of the wife
or husband of any such person, to give evidence shall not be the subject
of any comment by the prosecution.
131. In all civil proceedings the parties to the suit, and the husband
and wife of any party to the suit, shall be competent and compellable
witnesses.
132. Whenever it is stated on oath (whether by affidavit or otherwise)
by a Minister, or by the Secretary-General of the Common Services
Organization, that he has examined the contents of any document
forming part of any unpublished official records or communications
received by a public officer in the course of his duty, the production of
which document has been called for in any proceedings, and that he is
of the opinion that such production would be prejudicial to the public
interest, either by reason of the contents thereof or of the fact that it
belongs to a class which, on grounds of public policy, should be withheld
from such production, the document shall not be admissible.
133.--(I) No judge, magistrate or police officer shall be compelled
to say whence he got any information as to the commission of any
offence, and no revenue officer shall be compelled to say whence he got
any information as to the commission of any offence against the public
revenue.
(2) For the purpose of subsection (1), ''revenue officer'' means any
officer employed in or about the business of any branch of the public
revenue and public revenue includes income tax, customs and excise. 134,(I) No advocate shall at any time be permitted, unless with
his client's express consent, to disclose any communication made to
him in the course and for the purpose of his employment as such
advocate by or on behalf of his client, or to state the contents or
condition of any document with which he has become acquainted In
Professional
communication
the course and for the purpose of his professional employment, or to
disclose any advice given by him to his client in the course and for the
purpose of such employment:
Provided that nothing in this section shall protect from disclosure-
(a) any communication made in furtherance of any illegal purpose;
(b) any fact observed by any advocate in the course of his employment
as such, showing that any crime or fraud has, been
committed since the commencement of his employment, whether
the attention of such advocate was or was not directed to such
fact by or on behalf of his client.
(2) The obligation stated in this section continues after the employment
has ceased.
(3) For the purposes of this section and of sections 135, 136 and 137,
the words ''advocate'' and ''professional legal adviser'' mean a person
authorized by law or reasonably believed by the client to be authorized
by law to practise law in any country, the law of which recognizes a
privilege against disclosure of confidential communication between
client and professional legal adviser or advocate.
135. The provisions of section 134 shall apply to interpreters, and
the clerks or servants of advocates.
136.-(1) If any party to a suit gives evidence therein at his own
instance or otherwise, he shall not be deemed to have consented thereby
to such disclosure as is mentioned in section 134.
Privilege not
waived by
volunteering
evidence
(2) If any party to a suit or proceeding calls any such advocate as
a witness he shall be deemed to have consented to such disclosure only
if he questions such advocate on matters which, but for such question,
he would not be at liberty, to disclose.
137. No one shall be compelled to disclose to the court any confidential
communication which has taken place between him and his
advocate or professional legal adviser, unless he offers himself as a
witness, in which case he may be compelled to disclose any such
communications as may appear to the court necessary to be known in
order to explain any evidence which he has given, but no others.
138. No witness who is not a party to a suit shall be compelled to
produce his title-deeds to any property or any document under which
he holds any property as pledge or mortgagee, unless he has agreed in
writing with the person seeking the production of such deeds or some
person through whom he claims to produce them.to produce a document, the production of which might tend to
incriminate him, unless he has agreed in writing with the person
seeking the production of such document or some person through whom
he claims to produce it.
140. No one shall be compelled to produce documents in his possession,
which any other person would be entitled to refuse to produce
if they were in his possession, unless such other person consents to
their production.
141. A witness shall not be excused from answering any question as
to any matter relevant to the matter in issue in any suit or in any Civil
or criminal proceeding, upon the ground that the answer to such
question will incriminate, or may tend directly or indirectly to, incriminate,
such witness, or that it will expose, or tend directly or indirectly
to expose, such witness to a penalty or forfeiture of any kind, or that
it may establish or tend to establish that he owes a debt or is otherwise
subject to a civil suit:
Provided that no such answer, which a witness shall be compelled to
give, shall subject him to any arrest or prosecution, or be proved against
him in any subsequent criminal proceeding, except a prosecution for
giving false evidence by such answer.
142. An accomplice shall be a competent witness, against an accused
person; and a conviction is not illegal merely because it proceeds upon
the uncorroborated testimony of an accomplice.
143. Subject to the provisions of any other written law, no particular
number of witnesses shall in any case be required for the proof of any
fact."
how to question a witness [QUESTIONING OF WITNESSES],"144. The order m which witnesses are produced and examined shall
be regulated by the law and practice for the time being relating to
civil and criminal procedure respectively, and in the absence of any such
law, by the discretion of the court.
145.-(l) When either party proposes to give evidence of any fact
the court may ask the party proposing to give the evidence in what
manner the alleged fact, if proved would be relevant.
(2) The court shall admit the evidence of any fact if it thinks that
the fact, if proved, would be relevant, and not otherwise.
(3) If the fact proposed to be proved is one of which evidence is
admissible only upon proof of some other fact, such last-mentioned
fact must be proved before evidence is given of the fact first mentioned
unless the party undertakes to give proof of such fact and the court is
satisfied with such undertaking.  (4) If the relevancy of one alleged fact depends upon another alleged
fact being first proved, the judge may, in his discretion, either permit
evidence of the first fact to be given before the second fact is proved
or require evidence to be given of the second fact before evidence is
given of the first fact.
Examination 146. (1) The examination of a witness by the party who calls him
shall be called his examination-in-chief.
of witnesses
(2) The examination of a witness by the adverse party shall be called
his cross-examination.
(3) The examination of a witness, subsequent to the cross-examination,
by the party who called him, shall be called his re-examination.
147,(I) Witnesses shall be first examined-in-chief, then (if the
adverse party so desires) cross-examined, then (if the party calling them
so desires) re-examined.
(2) The examination-in-chief must relate to relevant facts, but the
cross-examination need not be confined to the facts to which the
witness testified on his examination-in-chief.
(3) The re-examination shall be directed to the explanation of matters
referred to in cross-examination; and, if new matter is, by permission
of the court, introduced in re-examination, the adverse party may
further cross-examine upon that matter.
(4) The court may in all cases permit a witness to be recalled either
for further examination-in-chief or for further cross-examination, and if
it does so, the parties have the right of further cross-examination and
re-examination respectively.148. A person summoned to produce a document does not become
a witness by the mere fact that he produces it, and cannot be crossexamined
unless and until he is called as a witness.
149. Witnesses to character may be cross-examined and re-examined.
150. Any question suggesting the answer which the person putting it
wishes or expects to receive is called a leading question.
Meaning of
leading
question
151. (1) Leading questions must not, if objected to by the adverse
- party, be asked in an examination-in-chief, or in a re-examination,
except with the permission of the court.
(2) The court shall permit leading questions as to matters which are
introductory or undisputed, or which have in its opinion been already
sufficiently proved. 152. Leading questions may be asked in cross-examination. Leading questions
in-crossexamination
153. Any witness may be asked, whilst under examination, whether
any contract or grant or other disposition of property, as to which he
is giving evidence, was not contained in a document, and if he says
that it was, or if he is about to make any statement as to the contents
of any document, which, in the opinion of the court, ought to be
produced, the adverse party may object to such evidence being given
until such document is produced. or until facts have been proved which
entitle the party who called the witness to give secondary evidence of
it.
154. A witness may be cross-examined as to previous statements
made by him in writing or reduced into writing, and relevant to matters
in question, without such writing being shown to him or being proved,
but if it is intended to contradict him by the writing, his attention must,
before the writing can be proved, be called to those parts of it which
are to be used for the purpose of contradicting him.
155. When a witness is cross-examined, he may, in addition to the
questions herein before referred to, be asked any questions which tend-
(a) to test his veracity;
(b) to discover who he is and what is his position in life; or
(c) to shake his credit, by injuring his character, although the answer
to such questions might tend directly or indirectly to incriminate
him, or might expose or tend directly or indirectly to expose him
to a penalty or forfeiture.
156. If any question asked under section 155 relates to a matter
relevant to the suit or proceeding, the provisions of section 141 shall
apply thereto.
157. A person charged with an offence who is called as a witness
for the defence may be asked any question in cross-examination,
notwithstanding that the answer may tend to incriminate him as to the
offence charged.
158,(I) If any question asked relates to a matter not relevant to the
suit or proceeding, except in so far as it affects the credit of the witness
by injuring his character, the court shall decide whether or not the
witness shall be compelled to answer it, and may, if it does not so
compel him, warn the witness that he is not obliged to answer it.
(2) In exercising its discretion under subsection (1), the court shall
have regard to the following considerations-
(a) such questions are proper if they are of such a nature that the
truth of the imputation conveyed by them would seriously affect
the opinion of the court as to the credibility of the witness on
the matter to which he testifies; (b) such questions are improper if the imputation which they convey
relates to matters so remote in time, or of such a character, that
the truth of the imputation would not affect, or would affect in a
slight degree, the opinion of the court as to the credibility of the
witness on the matter to which he testifies;
(c) such questions are improper if there is a great disproportion
between the importance of the imputation made against the
witness's character and the importance of his evidence.
(3) The court may, if it sees fit, draw from the witness's refusal to
answer, the inference that the answer, if given, would be unfavorable
159. No such question as is referred to in section 158 ought to be
asked, unless the person asking it has reasonable grounds for thinking
that the imputation which it conveys is well founded.
Questions
not to be
asked
without
reasonable
grounds
Indecent and 160. The court may forbid any question or inquiries which it regards
as indecent or scandalous, although such questions or inquiries may
have some bearing on the questions before the court, unless they relate
to facts in issue, or to matters necessary to be known in order to
determine whether or not the facts in issue existed.
scandalous
questions
Questions 161. The court shall forbid any question which appears to it to be
intended to insult or annoy, or which, though proper in itself, appears
to the court needlessly offensive in form.
intended to
insult or
annoy
Exclusion of 162. When a witness has been asked and has answered any question
evidence to which is relevant to the inquiry only in so far as it tends to shake his
contradict
credit by injuring his character, no evidence shall be given to contradict
him, but, if he answers falsely, he may afterwards be charged with
giving false evidence:
answers to
questions
testing
veracity
Provided that-
(a) if a witness is asked whether he has been previously convicted
of any crime and denies it, evidence may be given of his previous
convictions;
(b) if a witness is asked any question tending to impeach his
impartiality and answers it by denying the facts suggested,
evidence may be given of the facts.
163. The court may, in its discretion, permit the person who calls
a witness to put any question to him which might be put in crossexamination
by the adverse party.
Discretion
to allow crossexamination
of own
witness
Impeaching 164.-(I) The credit of a witness may be impeached in the following
the credit of ways by the adverse party, or, with the consent of the court, by the party
who calls him- a witness
(a) by the evidence of persons who testify that they, from their
knowledge of the witness, believe him to be unworthy of credit; (b) by proof that the witness has received or received the offer of a
corrupt inducement to give his evidence;
(c) by proof of former statements inconsistent with any part of his
evidence which is liable to be contradicted;
(d) when a man is prosecuted for rape, or an attempt to commit
rape, it may be shown that the prosecutrix was of generally
immoral character.
(2) A person Who, called as a witness pursuant to paragraph (a) of
subsection (1), declares another witness to be unworthy of credit may
not, upon his examination-in-chief, give reasons for his belief, but he
may be asked his reasons in cross-examination and the answers which
he gives cannot be contradicted, though, if they are false, he may afterwards
be charged with giving false evidence.
165. when a witness whom it is intended to corroborate given
evidence of any relevant fact, he may be questioned as to any other
circumstances which he observed at or near to the time or place at
which such relevant fact occurred, if the court is of opinion that such
circumstances, if proved, would corroborate his testimony as to the
relevant fact about which he testifies.
166. In order to corroborate the testimony of a witness, any former
statement, written or oral, made by such witness relating to the same
fact made either at or about the same time when the fact took place or
before any authority legally competent to investigate the fact, may be
proved.
167. Whenever any statement, relevant under section 34 or 35, is
proved, all matters may be proved either in order to, contradict or to
corroborate it, or in order to impeach or confirm the credit Of the person
by whom it was made, which might have been proved if that person
had been called as a witness and had denied upon cross-examination
the truth of the matter suggested'"
REFRESHING MEMORY AND PRODUCTION OF DOCUMENTS,"168--(l) A witness may, while under examination, refresh his memory
by referring to any writing made by himself at the time of the transaction
concerning which he is questioned or so soon afterwards that the
court considers it likely that the transaction was at that time fresh in
his memory.
(2) A witness may. while under examination, refresh his memory by
referring to any writing made by any other person and read by the
witness within the time referred to in subsection (1), if when he read
it he knew it to be correct. 169. Whenever a witness may refresh his memory by reference to any
writing, he may, if the court is satisfied that there is sufficient reason
for the non-production of the original, and with the permission of the
court, refer to a copy of such writing.
170. An expert may refresh his memory by reference to professional
treatises.
Expert may
refresh his
memory
171. A witness may also testify to facts mentioned in any such document
as is mentioned in section 168 or 169, although he has no specific
recollection of the facts themselves, if he is sure that the facts were
correctly recorded in the document.
172. Any writing referred to under the provisions of section 168
or 169 must be produced and shown to the adverse party if he requires
it and such party may, if he pleases, cross-examine the witness thereupon.
Production of 173,(I) A witness summoned to produce a document shall, if it is in
his possession or power, bring it to court, notwithstanding any objection
which there may be to its production or to its admissibility, but the
validity of any such objection shall be decided on by the court.
documents
(2) (a) The court may, if it sees fit, inspect the document, unless it is
a document to which section 132 is applied, or may take other evidence
to enable it to determine on its admissibility.
(b) If for such a purpose it is necessary to cause any document to be
translated, the court may, if it thinks fit, direct the translator to keep the
contents secret, unless the document is to be given in evidence; and if the
interpreter disobeys such direction, he shall be held to have committed
Cap. 16 an offence under section 96 of the Penal Code.
174. When a party calls for a document which he has given the other
party notice to produce, and such document is produced and inspected
by the party calling for its production, he is bound to give it as
evidence if the party producing it requires him to do so.
I
1.75. When a party refuses to produce a document which he has had
notice to produce, he cannot afterwards use the document as evidence
Using as
evidence of
document
production without the consent of the other party or the order of the court.
of which
was refused
176. (I) The court may, in order to discover or to obtain proper
proof of relevant facts, ask any question he pleases, in any form, at any
time, of any witness, or of the parties about any fact relevant or
irrelevant; and may order the production of any document or thing; and
neither the parties nor their agents shall be entitled to make any
objection to any such question or order, nor, without the leave of the
court, to cross-examine any witness upon any answer given in reply to
any such question: Provided that judgment must be based upon facts declared by this
Act, to be relevant, and duly proved.
(2) Subsection (1) shall not authorize a court-
(a) to compel any witness to answer any question, or to produce any
document which such witness would be entitled to refuse to
answer or produce under Part II of this Chapter, if the question
were asked or the document were called for by the adverse
party;
(b) to ask any question which it would be improper for any other
person to ask under section 158 or 159; or
(c) to dispense with primary evidence of any document, except in
the cases excepted by this Act."
QUESTIONS By ASSESSORS,"177. In cases tried with assessors, the assessors may put any questions
to the witness, through or by leave of the judge, which the judge himself
might put and which he considers proper."
"IMPROPER ADMISSION AND REJECTION OF
EVIDENCE","178. The improper admission or rejection of evidence shall not be
ground of itself for a new trial, or reversal of any decision in any case,
if it shall appear to the court before which such objection is raised that.
independently of the evidence objected to and admitted, there was
sufficient evidence to justify the decision, or that if the rejected evidence
had been received, it ought not to have varied the decision."
MISCELLANEOUS,"179. Save as otherwise expressly provided in this Act, nothing in this saving for
Act shall be deemed to derogate from the provisions of any other written other law,
law which relate to matters of evidence.
180.-(1) The Criminal Procedure Code is amended as follows: -
(a) in section 145, by deleting the words ''sections 123 or 124 of the
Indian Evidence Act, 1872, applied to the Territory'' in subsection
(2) and substituting therefor the words ''section 132 of the
Evidence Act, 1967'';
(b) in section 152, by deleting subsection (3);
(c) by repealing sections 155 and 161; and (d) in section 159, by, deleting the words ''section 33 of the Indian
Evidence Act, 1872, as applied to the Territory'' in subsection (2)
and substituting therefor the words ''section 132 of the Evidence
Act, 1967''.
Cap. 6 (2) The Evidence (Bankers Books) Ordinance is hereby repealed.
(3) Sections 7 and 11 of the Evidence Act, 1851, of the United Kingdom
shall cease to apply to Tanganyika as part of the law thereof and
Cap. I section 10 of the Interpretation and General Clauses Ordinance shall
apply as if that law was an Ordinance repealed by this Act.
(4) Part I of the Schedule to the Jurisdiction and Application of
Laws Ordinance, 1961 is hereby amended by deleting the reference
therein to the Evidence Act, 1851.
Cap. 453
(5) The Indian Evidence Act, 1872 shall cease to apply to Tanganyika
as part of the law thereof and section 10 of the Interpretation and
General Clauses Ordinance shall apply as if that Act were an Ordinance
repealed by this Act.
(6) The Indian Acts (Application) Ordinance is amended as
follows: -
(a) by repealing section 8, and
(b) by deleting the reference to the Indian Evidence Act in the
Schedule thereto."
Migogoro ya Kibiashara dhidi ya Viongozi wa Serikali,"Kila siku, na nchini kote, wafanyabiashara huwa na muingiliano na maafisa wengi wa serikali.
Ingawa muingiliano huo mara nyingi huwa ni wenye tija na kiungwana, siyo mara zote huwa
hivyo. Wakati mwingine maafisa wa serikali hutumia madaraka yao vibaya na hivyo kukiuka
sheria. Hakika, siyo maafisa wa serikali pekee, hata Mawaziri huweza kuvunja sheria.
Katika sura hii, tunatoa mifano kadhaa inayoonesha namna ambavyo maafisa wa serikali
wanapitiliza na kuvunja sheria, na namna ambayo wafanyabiashara wanaweza kudai haki zao.
Vilevile tunatoa mifano mahususi kuhusiana na idara ya uhamiaji ambapo maafisa wa serikali
wanatekeleza majukumu yao kwa mujibu wa sheria ingawa hatua hizo huwa ni kero kwa
wafanyabiashara.
Sura hii pia inajumuisha mifano ya wahalifu wanaojifanya ni maafisa wa serikali au hata polisi
(vishoka/matapeli) ili kupata taarifa na kuingia mahala pa biashara. Tunawashauri wenye
kampuni kuchukua tahadhari na kuwakabili ?maafisa? wanaowatilia mashaka."
Mamlaka ya maafisa uhamiaji,"Sheria za uhamiaji Tanzania zinaeleza kazi
na mamlaka ya maafisa uhamiaji kwa ujumla.
Sheria ya Uhamiaji inasema maafisa uhamiaji
wana mamlaka ya kuingia jengo lolote kwa
muda unaofaa na kukagua jengo hilo bila
kuwa na hati ya upekuzi. Wana mamlaka ya
kuchukua nyaraka zinazohusiana na masuala
ya uhamiaji ikiwemo kuzidai kutoka kwa mtu
ambaye wanaemuona ni mhamiaji, na ndiyo
maana inashauriwa wale wenye vibali vya kazi
wabebe vibali vyao vilivyothibitishwa.
Maafisa Uhamiaji pia wana mamlaka
ya kumkamata mtu ambaye hana nyaraka
zinazompa uhalali wa kukaa Tanzania. Na
kama wakimkamata wanatakiwa wampeleke
kwa hakimu aliyepo kwenye Mahakama
yoyote iliyo karibu haraka iwezekanavyo. Hata
hivyo, kisheria hawatakiwi kutumia nguvu
kubwa kufanikisha hilo. Labda kama kuna mtu
ameumizwa kutokana na matumizi ya nguvu
iliyopitiliza au amekamatwa bila kufikishwa
Mahakamani haraka iwezekanavyo, au
walikuja muda usio muafaka, vinginevyo
sheria inawaruhusu kufanya hivyo
walivyofanya walipokuja ofisini kwako.
Yote kwa yote, ni lazima watende kwa
kuzingatia utu wa kila mtu. Kwa upande
wako, inaonesha unalalamikia sana namna
ambavyo walikushtukiza na walivyowafanyia
wafanyakazi wako. Unaweza kutoa taarifa kwa
Mkurugenzi wa Uhamiaji kuhusu kuvunjiwa
heshima na yeye anaweza kulifanyia
uchunguzi tukio hilo.
Sehemu ya mwisho ya swali lako ni kuhusu
mamlaka ya jumla ya maafisa uhamiaji.
Kwa ajili hiyo, Tunanakili baadhi ya vifungu
muhimu vya sheria kwa ajili ya rejea yako.
Sheria inatamka kwamba afisa uhamiaji
yeyote anaweza (a) kumhoji au kukagua
pasipoti ya mtu yeyote anayetaka kuingia
au kuondoka nchini Tanzania au mtu yeyote
ambaye ataona ana sababu za msingi za
kuamini kuwa ni mhamiaji haramu, na pale
anapokuwa na sababu za msingi za kuamini
kwamba vifungu vya sheria hii au kanuni
zilizotungwa chini ya sheria hii zinavunjwa,
anaweza kumhoji au kukagua pasipoti ya
mtu yeyote ambaye anaamini kwamba
anaweza kutoa maelezo kuhusu uvunjifu
huo; (b) kumtaka mtu yeyote aliyeingia au
anayetaka kuingia au kuondoka Tanzania
kujaza au kusaini fomu yoyote ya kukubali
kufanyiwa uchunguzi wa kitabibu; (c)
kumtaka muongoza meli, rubani, dereva
wa gari moshi au gari anayeingia au kutoka
nje ya Tanzania kutoa nakala mbili za majina
zilizosainiwa naye, wakala wake au mtu
yeyote aliyeruhusiwa kufanya hivyo kwa
niaba yake majina ya watu wote wa kwenye
meli, ndege, gari moshi au gari na kumpatia
maelezo yoyote ya ziada kama yatahitajika (d)
kama ana sababu za msingi kuhisi kwamba
mtu yeyote anakiuka vifungu vya sheria
hii au kanuni zake au uwepo wa mhamiaji
haramu nchini Tanzania na kama anaona ili
kuhakikisha haki inatendeka ni lazima mtu
huyo akamatwe anaweza kumkamata mtu
huyo bila hati ya ukamataji na kumpeleka
kwa hakimu haraka iwezekanavyo (e)
kumtaka mtu kutoa uthibitisho au ushahidi
wa maandishi au wa mdomo ambao anaona ni muhimu ili kuthibitisha maelezo yoyote ya
maandishi au mdomo yaliyotolewa kwa ajili
ya kuomba kibali, pasi ya kusafiria au ruhusa
nyingine ambazo zinatolewa chini ya vifungu
vya sheria hii (f) kuingia kwenye jengo lolote
kwa muda unaofaa na kufanya upekuzi
wa jambo linalohusiana na uhamiaji na (g)
kumtaka mtu yeyote kumpatia waraka ambao
mtu huyo amebeba.
Kwa ajili ya kutekeleza kazi zilizoainishwa
kwenye sheria hii, afisa uhamiaji anaweza,
bila kuwa na hati ya upekuzi, kusimamisha,
kuingia na kukagua ndani ya ndege, treni,
gari, chombo, meli, jengo, ardhi, ghala,
kontena, boti yoyote iliyopo nchini.
Kwa maelezo hayo, unaweza kuona kuwa
mamlaka ya maafisa uhamiaji ni makubwa.
Hata hivyo, ni kawaida kwao kutumia vibaya
mamlaka hayo. Kwa mfano, wanaweza tu
kuchukua nyaraka zinazohusiana na uhamiaji
na siyo vinginevyo.
Ni lazima uelewe kwamba Idara ya Uhamiaji
ina kazi kubwa ya kuweka mlinganyo/usawa
ili kuhakikisha kwamba Watanzania wanapata
ajira zisizohitaji ubobevu na wataalamu
kutoka nje. Nchi zote zina sera za namna hiyo
ili kulinda ajira za watu wake. Lakini pia kuna
makampuni ambayo hayafuati sheria ambapo
husababisha makampuni ambayo yanafuata
sheria kuvamiwa. Hata hivyo, tunakiri kuwa
baadhi ya makampuni hayafanyi kazi kwa
kufuata sheria."
Mahakamani kwa kushindwa kulipa ushuru wa taka,"Ingawa ushuru wa taka unaonekana kama
siyo jambo kubwa, kutokulipa ushuru huo ni
kosa la jinai. Viwango vya malipo ya ushuru
wa kukusanya taka vimeainishwa kwenye
Sheria Ndogo za Makusanyo na Utupaji
Taka za mwaka 1994 ambapo Nyongeza ?C?
inahusu swali lako.
Chini ya sheri hizo, viwango vya malipo
vimeainishwa kulingana na idadi ya waajiriwa
ulionao. Kwa mfano, biashara yenye waajiriwa
kati ya 76 hadi 100 inatakiwa kulipa Shilingi
150,000; hiyo Shilingi 7,500 ni kwa biashara
yenye waajiriwa 6 hadi 10. Tunaamini una
utetezi mzuri, kama idadi ya wafanyakazi
wako haijaongezeka.
Katika hatua nyingine, kama tahadhari
tu, unashauriwa kwenda Mahakamani na
watu wawili ambao wanaweza kukuwekea
dhamana kama itahitajika."
Mhariri wa gazeti ameshtakiwa kwa uchochezi,"Umeshtakiwa kwa mujibu wa Kanuni ya
Adhabu, ambayo ni sheria ya jinai Tanzania.
Kifungu cha 55 (1) cha Kanuni ya Adhabu
kinaelezea nia ya kufanya uchochezi kuwa
ni nia ya (a) kuleta chuki au kudharau au
kuchochea hali ya kutopendwa kwa mamlaka halali ya Jamhuri ya Muungano au Serikali
yake; au (b) kuhamasisha wakazi wowote
wa Jamhuri ya Muungano ili kuleta mageuzi,
kwa njia isiyo halali, juu ya jambo lolote
lililowekwa na sheria katika Jamhuri ya
Muungano; au (c) kuleta chuki au kudharau
au hamasa ovu ya kuwafanya watu watende
kinyume na utawala wa sheria katika Jamhuri
ya Muungano; au (d) kupandisha hali ya
kutoridhika au kudharau baina ya wakazi wa
Jamhuri ya Muungano; au (e) kukuza hisia za
nia mbaya na chuki baina ya aina mbali mbali
za watu wa Jamhuri ya Muungano.
Kifungu kidogo cha (2) cha Kanuni ya
Adhabu kinaeleza kwamba kitendo, hotuba
au tangazo halitahesabiwa kuwa ni la
kichochezi kwa sababu tu linalenga katika
(a) kuonesha kwamba Serikali imepotoka au
imekosea katika mwenendo wake wowote; au
(b) kuonyesha makosa au mapungufu katika
Serikali au Katiba ya Jamhuri ya Muungano
au kama ilivyowekwa na sheria, au katika
usimamiaji utoaji wa haki kwa lengo la
kurekebisha makosa hayo au upungufu huo;
au (c) kuwashawishi wakati wowote wakazi
wa Jamhuri ya Muungano kujaribu kwa njia
ya halali kuleta mageuzi/mabadiliko ya jambo
lolote katika Jamhuri ya Muungano kama
ilivyowekwa na sheria; au (d) kuonyesha, kwa
nia ya kuyaondoa, mambo yoyote yanayoleta
au yenye mwelekeo wa kujenga hisia za nia
mbaya na uadui baina ya aina mbalimbali
za watu wa Jamhuri ya Muungano. Kifungu
kidogo cha (3) kinasema katika kuamua
endapo nia ya kitendo chochote kilifanywa
au inayohusishwa na kitendo ilikuwa ya,
maneno yoyote yatakayozungumzwa au
nyaraka yoyote itakayoandikwa itahesabiwa
kuwa ni ya uchochezi, na mtu yeyote
atahesabiwa kuwa alinuia matokeo ambayo
kwa hali ya kawaida yanatokana na kitendo
chake kwa wakati na katika hali aliyoitenda
mwenyewe.
Una imani isiyo sahihi kuwa uhariri
unaweza kuandikwa tu vyovyote. Si hivyo.
Maoni ya mhariri yanaweza kuwa ni ya
uchochezi. Ni kweli Katiba inakupa uhuru
wa kujieleza, lakini uhuru huo ni lazima uwe
ndani ya mipaka. Mwanasheria wako anaweza
kukuongoza zaidi."
Taarifa katika tovuti za Serikali zimepitwa na wakati,"Kwa bahati mbaya hatujui sheria yoyote
inayoweka kosa kama hilo. Hata hivyo, kanuni
za utawala bora na hekima vinazilazimu
idara, wizara, au wakala za serikali kuhuisha
tovuti zao angalau kila siku au kila wiki.
Kwa kuwa unaonekana kufahamu idadi ya
tovuti hizo, ni vyema ukaziandikia kuwaeleza
kuhusu upungufu huu.
Upande wa pili wa swali lako hatuwezi
kulijibu bila kwanza kujua ulizitegemeaje
taarifa hizo na vyanzo gani vingine ulikuwa
navyo kabla ya kuzitegemea taarifa hizo.
Hata hivyo, kwa kawaida dai lako haliwezi
kufanikiwa ikiwa ulikuwa na uelewa
kama ulivyoonesha kwamba tovuti hizo hazijasahihishwa. Kama hivyo ndivyo,
hatuamini kama unaweza kufanikiwa.
Wanasheria wako wanaweza kukuongoza
baada ya kuwaeleza kila kitu."
